"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1481","logout","","Wed Apr 09 23:54:29 NPT 2025","passed","Wed Apr 09 23:54:30 NPT 2025","","Role Based Access Test","",""
"","11546","delete the added employee","","Wed Apr 09 23:53:13 NPT 2025","passed","Wed Apr 09 23:53:25 NPT 2025","","add employee details","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/Login/login.cy.js","","Wed Apr 09 22:06:12 NPT 2025","broken","Wed Apr 09 22:06:12 NPT 2025","","cypress/e2e/Login/login.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/PIM/addEmployee.cy.js","","Wed Apr 09 22:04:46 NPT 2025","broken","Wed Apr 09 22:04:46 NPT 2025","","cypress/e2e/PIM/addEmployee.cy.js","",""
"","1618","logout","","Wed Apr 09 23:53:25 NPT 2025","passed","Wed Apr 09 23:53:27 NPT 2025","","add employee details","",""
"","23757","add employee","","Wed Apr 09 23:53:44 NPT 2025","passed","Wed Apr 09 23:54:08 NPT 2025","","Role Based Access Test","",""
"","9940","add User","","Wed Apr 09 23:54:08 NPT 2025","passed","Wed Apr 09 23:54:18 NPT 2025","","Role Based Access Test","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/RoleBasedAccess/roleBasedAccess.cy.js","","Wed Apr 09 22:06:22 NPT 2025","broken","Wed Apr 09 22:06:22 NPT 2025","","cypress/e2e/RoleBasedAccess/roleBasedAccess.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/Login/login.cy.js","","Wed Apr 09 22:04:40 NPT 2025","broken","Wed Apr 09 22:04:40 NPT 2025","","cypress/e2e/Login/login.cy.js","",""
"","3455","ESS user should NOT see Admin tab","","Wed Apr 09 23:54:30 NPT 2025","passed","Wed Apr 09 23:54:34 NPT 2025","","Role Based Access Test","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/PIM/addEmployee.cy.js","","Wed Apr 09 22:06:18 NPT 2025","broken","Wed Apr 09 22:06:18 NPT 2025","","cypress/e2e/PIM/addEmployee.cy.js","",""
"","9109","Admin user should see Admin tab","","Wed Apr 09 23:54:20 NPT 2025","passed","Wed Apr 09 23:54:29 NPT 2025","","Role Based Access Test","",""
"","6860","should login successfully with valid credentials","","Wed Apr 09 23:52:26 NPT 2025","passed","Wed Apr 09 23:52:33 NPT 2025","","Login Test","",""
"","20657","should add the employe details and his credentials successfully","","Wed Apr 09 23:52:53 NPT 2025","passed","Wed Apr 09 23:53:13 NPT 2025","","add employee details","",""
"","1902","logout","","Wed Apr 09 23:52:33 NPT 2025","passed","Wed Apr 09 23:52:35 NPT 2025","","Login Test","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/RoleBasedAccess/roleBasedAccess.cy.js","","Wed Apr 09 22:04:50 NPT 2025","broken","Wed Apr 09 22:04:50 NPT 2025","","cypress/e2e/RoleBasedAccess/roleBasedAccess.cy.js","",""
